id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude
16810981,111803297,Ãngeles Y Doris,Entire home/apt,Arganzuela,Delicias,89,44,40.40007,-3.69507
16817257,111875340,MarÃ­a RocÃ¬o,Entire home/apt,Centro,Palacio,105,8,40.4184,-3.70981
16823285,37291567,Luis,Hotel room,Centro,Justicia,94,10,40.42614,-3.69952
16823818,35398617,ÐÐ¼Ð¸ÑÑÐ¸Ð¹,Entire home/apt,Retiro,Pacífico,75,1,40.40562,-3.67246
16825258,26530864,Almudena,Entire home/apt,Arganzuela,Palos de Moguer,65,66,40.40456,-3.69586
16830228,107663190,Gloria,Entire home/apt,Centro,Sol,80,1,40.4159,-3.70417
16830411,107663190,Gloria,Entire home/apt,Centro,Sol,200,13,40.41661,-3.70349
16830596,107663190,Gloria,Entire home/apt,Centro,Sol,155,0,40.41569,-3.70581
16834559,112053373,Elena,Entire home/apt,Centro,Sol,80,0,40.41794,-3.70267
16837374,111948264,Ãngel,Entire home/apt,Centro,Justicia,177,107,40.42655,-3.70105
16841195,112118876,Mario,Entire home/apt,Centro,Sol,150,83,40.41935,-3.70263
16848849,21731634,Tres Por Tres,Entire home/apt,Salamanca,Goya,120,24,40.42694,-3.6781
16851847,112229852,Jose,Entire home/apt,Chamberí,Arapiles,55,34,40.43631,-3.71033
16851987,46134368,Marcos,Entire home/apt,Chamberí,Trafalgar,170,13,40.42987,-3.70357
16852774,112241289,Carla,Entire home/apt,Centro,Universidad,66,66,40.42369,-3.70648
16855096,97771688,Sebastian,Entire home/apt,Retiro,Adelfas,50,1,40.40101,-3.66832
16856445,40877988,Eduardo Y Raul,Entire home/apt,Centro,Universidad,90,129,40.42302,-3.70162
16856463,69185114,Leire,Private room,Centro,Universidad,25,18,40.42812,-3.70418
16856941,8526317,Mario,Entire home/apt,Centro,Justicia,99,27,40.42224,-3.69439
16863610,49036888,Cecilia Romana,Private room,Centro,Palacio,25,5,40.42027,-3.71187
16865230,112373304,Daniel,Entire home/apt,Centro,Universidad,94,16,40.42729,-3.70437
16867707,61459850,Bea,Entire home/apt,Moncloa - Aravaca,Argüelles,49,104,40.42673,-3.71896
16868660,85187956,Julian,Private room,Latina,Aguilas,19,1,40.38261,-3.7803
16869068,68247371,Carmen,Private room,Carabanchel,Comillas,20,146,40.39553,-3.71437
16870313,112036768,Niculae,Entire home/apt,Puente de Vallecas,Portazgo,55,2,40.39095,-3.6457
16872328,87848877,Ayoze,Entire home/apt,Centro,Universidad,120,80,40.42722,-3.70904
16872465,16698769,Miguel Angel,Entire home/apt,Centro,Sol,82,194,40.4168,-3.70534
16875193,9392971,Cris&David,Entire home/apt,Salamanca,Castellana,85,23,40.42938,-3.68654
16876870,10729906,Gaby,Entire home/apt,Salamanca,Castellana,236,83,40.43024,-3.68575
16876906,112503975,Helios,Private room,Carabanchel,San Isidro,22,77,40.39623,-3.72078
16882536,87848877,Ayoze,Entire home/apt,Centro,Sol,100,61,40.41511,-3.70455
16889632,112661737,Elsa,Private room,Barajas,Alameda de Osuna,33,487,40.46081,-3.58668
16890129,53419760,Mario,Entire home/apt,Centro,Sol,73,92,40.41566,-3.70615
16891620,28786243,Emilio,Entire home/apt,Chamberí,Almagro,100,74,40.43608,-3.69483
16891684,35398617,ÐÐ¼Ð¸ÑÑÐ¸Ð¹,Private room,Retiro,Pacífico,30,3,40.40434,-3.67459
16893803,29638657,Steve,Private room,Hortaleza,Canillas,15,5,40.46173,-3.64833
16894877,9053879,Aser,Shared room,Centro,Embajadores,48,35,40.40641,-3.69938
16895728,112739714,Dan,Entire home/apt,Centro,Embajadores,70,43,40.40614,-3.70175
16902221,108979636,FabiÃ¡n,Entire home/apt,Centro,Embajadores,50,69,40.40927,-3.70916
16905378,39720998,Antonio,Entire home/apt,Centro,Cortes,65,3,40.41269,-3.69702
16906233,112858693,Marcos,Entire home/apt,Chamberí,Trafalgar,60,63,40.43084,-3.7044
16907257,88431017,Guillermo,Entire home/apt,Chamartín,Hispanoamérica,63,167,40.45534,-3.68033
16907268,40877988,Eduardo Y Raul,Entire home/apt,Centro,Palacio,75,106,40.41968,-3.71812
